Alkaid,Mizar-A
Mizar-A,Alioth
Alioth,Megrez
Megrez,Dubhe
Dubhe,Merak
Merak,Phecda
Phecda,Megrez
Phecda,Taiyangshou
Taiyangshou,psi-UMa
psi-UMa,Tania-Borealis
psi-UMa,Tania-Australis
Merak,phi-UMa
phi-UMa,tet-UMa
phi-UMa,ups-UMa
ups-UMa,Muscida
Muscida,h-UMa
h-UMa,Dubhe
tet-UMa,Alkaphrah
tet-UMa,Talitha
Caph,Schedar
Schedar,gam-Cas
gam-Cas,Ruchbah
Ruchbah,Segin
Polaris,Yildun
Yildun,eps-UMi
eps-UMi,zet-UMi
zet-UMi,Kochab
Kochab,Pherkad
Pherkad,eta-UMi
eta-UMi,zet-UMi
Giausar,kap-Dra
kap-Dra,Thuban
Thuban,Edasich
Edasich,tet-Dra
tet-Dra,Athebyne
Athebyne,Aldhibah
Aldhibah,chi-Dra
chi-Dra,tau-Dra
tau-Dra,Tyl
Tyl,Altais
Altais,Grumium
Grumium,Eltanin
Eltanin,Rastaban
Rastaban,nu.02-Dra
nu.02-Dra,Grumium
Alderamin,Alfirk
Alfirk,Errai
Alfirk,iot-Cep
Errai,iot-Cep
iot-Cep,del-Cep
del-Cep,zet-Cep
zet-Cep,eps-Cep
eps-Cep,Herschel's-Garnet-Star
Herschel's-Garnet-Star,Alderamin
Alderamin,eta-Cep
eta-Cep,tet-Cep
Atik,Menkhib
Menkhib,eps-Per
eps-Per,del-Per
del-Per,Mirfak
Mirfak,gam-Per
gam-Per,Miram
16-Per,Gorgonea-Tertia
Gorgonea-Tertia,Algol
Algol,Mirfak
1-Lac,6-Lac
6-Lac,5-Lac
5-Lac,alf-Lac
alf-Lac,bet-Lac
bet-Lac,4-Lac
4-Lac,5-Lac
Minelauva,Porrima
Porrima,Spica
Spica,Heze
Heze,Minelauva
Vindemiatrix,Minelauva
nu.-Vir,Zaniah
Zaniah,Porrima
mu.-Vir,Syrma
Syrma,Kang
Kang,Spica
109-Vir,tau-Vir
tau-Vir,Heze
Diadem,bet-Com
bet-Com,gam-Com
bet-Com,14-Com
bet-Com,16-Com
bet-Com,21-Com
bet-Com,23-Com
Regulus,eta-Leo
eta-Leo,Algieba
Algieba,Zosma
Zosma,Chertan
Chertan,Regulus
Denebola,Zosma
Denebola,Chertan
eps-Leo,Rasalas
Rasalas,Adhafera
Adhafera,Algieba
Capella,Saclateni
Saclateni,Hassaleh
Hassaleh,Elnath
Elnath,Mahasim
Mahasim,Menkalinan
Menkalinan,Capella
Deneb,SADR
SADR,eta-Cyg
eta-Cyg,Albireo
mu.01-Cyg,zet-Cyg
zet-Cyg,Aljanah
Aljanah,SADR
kap-Cyg,iot-Cyg
iot-Cyg,Fawaris
Fawaris,SADR
Scheat,Markab
Markab,Algenib
Algenib,Alpheratz
Alpheratz,Scheat
Enif,Biham
Biham,Homam
Homam,ksi-Peg
ksi-Peg,Markab
kap-Peg,iot-Peg
iot-Peg,lam-Peg
lam-Peg,Sadalbari
Sadalbari,Scheat
pi.-Peg,Matar
Matar,Scheat
Almach,MIRACH
MIRACH,del-And
del-And,Alpheratz
nu.-And,mu.-And
mu.-And,MIRACH
Mothallah,bet-Tri
bet-Tri,gam-Tri
