,Mag V ,
,---------------------------,,------
,206.8851573,49.31326673,1.86
,89.93029218,37.21258463,2.62
,21.45396446,60.23528403,2.68
,117.3235653,-24.85978624,3.3
,311.6633,16.1242,3.91
,354.3910109,46.45814944,3.82
,83.78449002,9.93415587,3.66
,83.85825795,-5.90990098,2.77
,145.2876377,9.89230838,3.52
,37.95456067,89.26410897,2.02
,78.63446707,-8.20163836,0.13
,326.7601843,-16.12728709,2.83
,69.545104,-14.303983,3.89
,116.3289578,28.02619889,1.14
,24.49815413,48.62821376,3.57
,172.8509198,69.3310749,3.85
,177.2649098,14.57205806,2.13
,243.5864105,-3.69432256,2.75
,97.20445711,-7.03305837,3.74
,344.4126927,-29.62223703,1.16
,67.15416174,19.18042906,3.53
,2.09691619,29.09043112,2.06
,245.480175,19.153022,3.726
,56.45669401,24.36774621,3.87
,83.18256716,-17.82228927,2.57
,84.05338894,-1.20191914,1.69
,101.2871553,-16.71611586,-1.46
,76.62872239,41.23447576,3.18
,182.5311691,-22.61976722,2.98
,56.079721,32.288242,3.91
,30.97480121,42.32972842,2.1
,193.50729,55.95982296,1.77
,81.57297133,28.60745172,1.65
,269.756633,-9.77363329,3.34
,286.1707574,-21.7414957,3.77
,193.9008692,3.39747034,3.38
,68.98016279,16.50930235,0.86
,286.7350374,-27.67042191,3.31
,318.2341081,30.22691546,3.21
,84.41118926,21.14254411,3.03
,262.6081737,52.30138871,2.81
,233.67195,26.71469278,2.24
,40.8251629,3.23581638,3.47
,86.11579539,-22.44838356,3.6
,56.29846681,42.5785508,3.8
,95.74011193,22.51358275,2.87
,101.287154,-16.716117,-1.09
,322.1649869,70.56071519,3.23
,148.1909023,26.0069533,3.88
,222.7196379,-16.04177652,2.75
,343.6625563,-15.82082729,3.28
,105.4297824,-27.93483049,3.47
,85.189696,-1.942572,1.88
,228.875679,33.31483127,3.49
,140.2637531,34.39256237,3.14
,43.56442116,52.76247888,3.96
,93.719562,22.506822,3.32
,46.29414106,38.84027619,3.39
,76.96243955,-5.08644597,2.79
,281.4141088,-26.99077623,3.161
,76.36527238,-22.37103442,3.18
,79.17232794,45.99799147,0.08
,30.85877576,72.42129382,3.948
,139.711108,36.802875,3.92
,165.9319647,61.75103469,1.79
,113.650417,31.888492,2.97
,310.3579798,45.28033881,1.25
,89.88180005,54.28465841,3.72
,244.9351528,46.31336453,3.9
,85.18969443,-1.94257359,1.79
,135.1599195,41.78294587,3.96
,42.49597183,27.26050723,3.606
,151.8331328,16.76266119,3.41
,34.836633,-2.977639,3.04
,263.7336227,12.56003739,2.07
,309.90953,15.91207326,3.8
,82.06134649,-20.75944105,2.84
,342.3979232,-13.5926324,3.98
,14.1883838,38.4993439,3.87
,184.976475,-0.666794,3.9
,288.1387582,67.66154044,3.07
,268.3822068,56.87264285,3.75
,325.433021,42.841408,3
,266.6146945,27.72067718,3.42
,258.6619091,14.39034061,3.06
,168.5270893,20.52371814,2.53
,226.017567,-25.28196129,3.21
,298.118199,1.00565823,3.8
,199.7304049,-23.17151428,3
,297.6958273,8.8683212,0.76
,276.9926697,-25.4216985,2.81
,233.700592,10.538622,3.8
,32.38594634,34.98729706,3
,44.10687285,-8.89814503,3.87
,245.48006,19.15312827,3.76
,231.2323943,58.96606512,3.29
,55.73126774,47.78754851,3.01
,316.2327596,43.92785124,3.73
,273.4408702,-21.05883169,3.85
,154.2740953,42.91435577,3.45
,194.0069426,38.31837614,2.88
,72.80151967,5.60510342,3.68
,225.4865099,40.39056683,3.52
,138.5910836,2.31426199,3.88
,10.12683778,56.53733116,2.23
,269.1515412,51.48889562,2.23
,250.7240212,38.92225357,3.5
,233.70058,10.53908,3.8
,221.2467394,27.07422497,2.39
,169.8351982,-14.77853925,3.56
,109.5232491,16.54038626,3.581
,337.2079452,-0.01994285,3.65
,318.697754,38.045375,3.83
,241.7017788,-20.66919173,3.97
,250.3215043,31.6027187,2.8
,297.0431283,70.26793035,3.84
,4.85697568,-8.82391974,3.55
,244.5803739,-4.69250958,3.23
,133.8484422,5.94556539,3.1
,144.964006,-1.1428093,3.91
,275.9245407,21.76975183,3.84
,337.2927709,58.4151983,3.75
,354.8368814,77.63227434,3.22
,350.7426086,-20.10058231,3.98
,72.46004544,6.96127453,3.19
,257.5945287,-15.72490664,2.42
,286.5622457,-4.88255574,3.43
,67.16558623,15.87088182,3.41
,156.5226096,-16.83628968,3.81
,222.6763575,74.15550394,2.08
,292.4264947,51.72977939,3.769
,74.24842121,33.16609957,2.69
,311.5528432,33.97025693,2.48
,88.79293899,7.407064,0.42
,89.88217887,44.94743257,1.9
,48.017892,-28.989006,3.98
,335.4140643,-1.38733418,3.847
,309.3872554,14.59508875,3.63
,237.405029,-3.43020438,3.53
,298.8283023,6.4067618,3.71
,345.4802691,42.3259815,3.62
,247.5549981,21.48961132,2.77
,177.673826,1.76471973,3.6
,83.784487,9.934156,3.47
,302.826108,-0.821475,3.22
,260.502414,-24.99954638,3.26
,168.5600186,15.42957058,3.35
,264.866192,46.00633336,3.8
,347.3616534,-21.17241145,3.64
,78.23292366,-16.20546904,3.29
,143.2143079,51.67730032,3.18
,51.08070872,49.8611793,1.79
,141.8968446,-8.65859953,1.97
,342.4200706,66.20040656,3.54
,59.46346687,40.01021532,2.89
,245.2971488,-25.59279208,2.89
,73.56290018,2.44067308,3.73
,239.1132612,15.66161682,3.84
,305.2528053,-14.78138307,3.08
,108.7027245,-26.77266936,3.82
,296.5649179,10.61326133,2.72
,46.19912808,53.50643576,2.93
,69.07975601,-3.35246019,3.92
,89.10122085,-14.16769969,3.72
,241.3592999,-19.80545278,2.62
,28.38256161,19.29385527,3.88
,195.5441577,10.9591504,2.79
,163.327937,34.21487153,3.83
,109.523246,16.540386,3.559
,99.42796043,16.39928043,1.92
,235.6856896,26.29563463,3.84
,237.7040259,4.47773087,3.713
,284.4324962,-21.10665591,3.51
,319.6448847,62.58557446,2.46
,266.9731656,2.70727778,3.75
,111.7876739,8.28931576,2.89
,239.221151,-29.21407255,3.86
,337.8229221,50.28249116,3.77
,60.78908193,5.98929977,3.898
,187.4660632,-16.51543126,2.94
,121.8860368,-24.30432443,2.81
,200.9814187,54.92535197,2.27
,208.6711622,18.39772072,2.68
,234.6640396,-29.77774878,3.644
,279.2347348,38.78368896,0.03
,269.0632523,37.25053732,3.88
,113.649429,31.888275,1.93
,51.79229464,9.73267621,3.75
,115.951953,-28.95482556,3.93
,56.21890368,24.11333645,3.7
,275.264094,72.73284772,3.58
,126.4151334,-3.90642162,3.9
,299.6892859,19.49214669,3.47
,131.693801,6.41880152,3.38
,241.35929,-19.80539,2.5
,331.445983,-0.31985,2.94
,93.7194048,22.50679434,3.28
,221.246762,27.074208,2.45
,103.5331349,-24.18421104,3.87
,247.7284298,1.98392248,3.9
,233.8815784,-14.78953551,3.91
,85.189879,-1.943219,3.7
,183.951545,-17.54193046,2.58
,142.8821197,63.06186148,3.67
,83.001658,-0.299081,2.41
,131.1712467,18.1543065,3.94
,222.72,-16.0417,2.8
,9.83197992,30.86102175,3.28
,60.17006549,12.49034054,3.41
,56.87115231,24.10513565,2.87
,340.7505726,30.22124505,2.95
,12.271438,57.8165,3.52
,42.67420662,55.89549655,3.79
,48.018864,-28.98762045,3.85
,231.9572147,29.10570066,3.68
,265.868136,4.56730431,2.75
,26.01701409,-15.93747951,3.5
,51.20332482,9.0288747,3.6
,9.24285078,53.89690758,3.66
,183.8565026,57.03261544,3.32
,245.9978581,61.51421387,2.74
,290.4181642,-17.84719912,3.93
,250.322771,31.601936,2.879
,291.3745891,3.11477947,3.36
,69.54510358,-14.30401665,3.87
,303.868012,47.71421137,3.98
,325.0227353,-16.66230756,3.67
,200.981429,54.925361,2.23
,220.7650951,-5.65820353,3.88
,200.984708,54.921822,3.88
,158.2027987,9.30658596,3.87
,275.3275023,-2.89882682,3.25
,22.87087607,15.34582459,3.62
,342.5008048,24.60158288,3.48
,233.7006151,10.538868,3.79
,154.9931273,19.84148522,2.37
,269.4411905,29.24787987,3.7
,21.00585534,-8.1832559,3.59
,213.9153003,19.18240916,-0.05
,154.1725665,23.41731168,3.41
,17.14746451,-10.18226582,3.45
,55.81208699,-9.76339122,3.54
,47.37404816,44.85754065,3.81
,57.2905941,24.05341675,3.63
,79.40161902,-6.84440839,3.59
,271.837433,9.56384725,3.73
,81.119238,-2.397136,3.594
,110.030788,21.982339,3.518
,341.6328244,23.56565448,3.93
,135.9063651,47.15652473,3.6
,278.8017824,-8.24407024,3.83
,67.14373348,15.9621804,3.84
,270.1613175,2.93156455,3.93
,190.416596,-1.449514,3.44
,169.619736,33.09430852,3.49
,83.001708,-0.299136,3.76
,285.6530427,-29.8800633,2.607
,56.07971685,32.28824802,3.83
,305.557091,40.25667916,2.23
,258.757963,24.839192,3.103
,254.4170744,9.37503128,3.2
,217.9574567,30.37143836,3.59
,30.9748046,42.3297247,2.1
,134.803387,48.042314,3.13
,30.51174881,2.76376138,3.82
,64.94834937,15.62764318,3.65
,287.4409705,-21.02361398,2.88
,116.1118899,24.39799645,3.57
,152.0929624,11.96720878,1.4
,299.0765509,35.08342299,3.88
,84.68658057,-2.60003294,3.8
,101.3223513,12.89559198,3.36
,83.00166706,-0.29909511,2.41
,178.4576972,53.69475973,2.44
,255.0723908,30.92640458,3.92
,103.1972453,33.96125485,3.6
,86.73892066,-14.82194998,3.545
,218.0194658,38.30825118,3.02
,258.7579607,24.83920697,3.13
,229.2517243,-9.38291441,2.62
,155.582249,41.4995192,3.05
,349.2914062,3.28228833,3.7
,104.6564532,-28.97208616,1.5
,201.2982474,-11.16131949,0.97
,12.27621124,57.81518773,3.44
,139.711016,36.80259252,3.82
,86.93912017,-9.66960492,2.06
,2.29452158,59.1497811,2.27
,283.8163604,-26.29672411,2.058
,28.59885697,63.67010079,3.37
,3.30896346,15.18359354,2.84
,296.2436606,45.13081002,2.87
,95.67493897,-17.95591871,1.97
,115.3118024,-9.55113085,3.93
,45.5698878,4.08973877,2.53
,27.8651451,-10.33503581,3.72
,284.7359267,32.68955564,3.25
,258.7618098,36.80916231,3.18
,318.9559663,5.24784528,3.949
,100.9830261,25.13112541,2.98
,47.04221855,40.95564668,2.12
,110.0307491,21.98231603,3.53
,176.5125586,47.77940629,3.72
,146.4628054,23.77425578,2.98
,10.89737874,-17.98660632,2.01
,234.2560425,-28.13508129,3.609
,81.28276356,6.34970326,1.64
,264.396666,-15.39855388,3.539
,190.415887,-1.449342,3.484
,162.4062031,-16.19364888,3.11
,340.36555,10.831289,3.41
,221.562189,1.89288458,3.73
,321.6667764,-22.4113345,3.74
,188.3705969,69.78823584,3.89
,147.7473208,59.03873572,3.81
,203.673937,-0.595939,3.38
,292.6803355,27.95968007,3.085
,296.8469272,18.53428891,3.82
,332.5499387,6.19786326,3.55
,111.4316472,27.79808135,3.79
,106.0272116,20.57029829,3.79
,271.885628,28.76249107,3.837
,127.5661277,60.71816987,3.42
,17.43301617,35.62055765,2.05
,239.7129718,-26.11410794,2.91
,190.415181,-1.44937282,2.74
,59.50736229,-13.50851938,2.94
,40.8255,3.236167,3.54
,188.5968118,-23.3967604,2.64
,14.1772154,60.7167403,2.39
,31.7933571,23.46241755,2.01
,282.5199802,33.36266944,3.42
,230.1821502,71.83401655,3.027
,220.2872982,13.72830463,3.793
,345.9435728,28.08278712,2.42
,124.1288375,9.18554387,3.52
,322.8897155,-5.57117555,2.89
,326.0464839,9.87500865,2.39
,311.9189692,-9.49577436,3.77
,114.8254979,5.22498756,0.37
,75.49221855,43.8233072,2.99
,58.53301032,31.88363368,2.85
,53.23268735,-9.45825866,3.73
,236.5468931,15.42183219,3.67
,331.7527749,25.34511244,3.77
,93.71389027,-6.27477445,3.96
,257.1966498,65.71468427,3.17
,211.5929062,-26.68236178,3.28
,169.54555,31.529289,3.79
,167.4158695,44.49848668,3.01
,111.0237595,-29.30310551,2.45
,65.73371889,17.54251353,3.76
,275.2485148,-29.82810164,2.668
,236.0669763,6.42562868,2.63
,154.993446,19.841258,1.98
,134.8018901,48.04182614,3.14
,289.2757027,53.36845927,3.76
,249.2897461,-10.56709152,2.56
,165.931954,61.751033,2
,113.6494716,31.88828222,1.58
,81.11923634,-2.39714754,3.35
,49.87917599,-21.75786249,3.7
,303.4079439,46.74132799,3.8
,332.7136538,58.20126267,3.35
,257.594388,-15.725158,2.463
,87.83040053,-20.87908977,3.85
,107.0978502,-26.39319957,1.84
,286.3525334,13.86347728,2.99
,28.27044623,29.5788278,3.42
,311.3223981,61.83878242,3.41
,105.7561338,-23.83329231,3.02
,211.0972915,64.37585053,3.68
,346.1902227,15.20526715,2.48
,75.61953078,41.07583888,3.75
,152.6469861,-12.35408162,3.61
,240.0833554,-22.62170643,2.32
,247.3519154,-26.43200261,0.91
,28.66004579,20.80803147,2.65
,314.2934128,41.16713864,3.94
,343.1536434,-7.57959838,3.79
,165.4603189,56.38242609,2.37
,87.87250169,39.14848411,3.95
,297.043117,70.267925,3.91
,318.6978855,38.04531782,3.73
,304.5135665,-12.54485232,3.58
,248.9706369,-28.21601709,2.81
,
