 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
1   	* 21 LMi                 	dS*	151.85734566 +35.24469347  	 4.74 	 4.67 	 4.49 	 4.31 	 4.24 	A7V(n)                
2   	NGC 3114                 	OpC	150.6500 -60.1200          	     ~	 4.47 	 4.2  	     ~	     ~	~                     
3   	[BAB2009] F              	PoG	116.724875 +39.018403      	     ~	 0.120	 0.143	 0.173	     ~	~                     
4   	* c Vel                  	*  	136.03866617 -47.09773743  	 6.16 	 4.95 	 3.75 	 2.93 	 2.33 	K2III                 
5   	* f Cen                  	*  	196.56960048 -48.46329055  	 4    	 4.564	 4.694	     ~	     ~	B4V                   
6   	* 4 Dra                  	SB*	187.52774990 +69.20112766  	 8.38 	 6.57 	 4.95 	     ~	     ~	M3+IIIa               
7   	* iot Ant                	*  	164.17938358 -37.13776532  	 6.47 	 5.63 	 4.60 	 3.85 	 3.32 	K0III                 
8   	* 145 CMa                	*  	109.15347596 -23.31559438  	 8.37 	 6.50 	 4.79 	 3.47 	 2.51 	K4III                 
9   	* 30 Oph                 	*  	255.26501106 -04.22264398  	     ~	 6.340	 4.827	     ~	     ~	K4III                 
10  	* ups Car                	** 	146.77550706 -65.07200742  	     ~	 3.24 	 2.96 	     ~	     ~	A9                    
11  	* 16 Pup                 	*  	122.25682254 -19.24501446  	 3.65 	 4.247	 4.390	     ~	     ~	B5V                   
12  	* gam Lup A              	*  	233.785163 -41.166792      	     ~	 3.25 	 3.45 	     ~	     ~	~                     
13  	* J Cen                  	** 	200.65806718 -60.98839383  	 3.81 	 4.380	 4.505	     ~	     ~	B3V                   
14  	* ome Aur A              	*  	074.814208 +37.890242      	     ~	 5.01 	 5.00 	     ~	     ~	~                     
15  	* eta UMa                	V* 	206.88515734 +49.31326673  	 0.99 	 1.67 	 1.86 	 1.98 	 2.16 	B3V                   
16  	* del Hyi                	*  	035.43726193 -68.65941772  	 4.17 	 4.12 	 4.09 	 4.05 	 4.04 	A2V                   
17  	* phi Cyg                	SB*	294.84419128 +30.15332234  	     ~	 5.648	 4.685	     ~	     ~	G8III                 
18  	* alf Hyi                	PM*	029.69247778 -61.56985966  	 3.33 	 3.13 	 2.84 	 2.55 	 2.39 	F0IV                  
19  	[BAB2009] A              	PoG	116.742542 +39.014233      	     ~	 0.504	 0.544	 0.587	     ~	~                     
20  	* q Car                  	LP*	154.27073044 -61.33230231  	     ~	 4.954	 3.384	     ~	     ~	K3II                  
21  	ADS 8801 AB              	** 	197.4871 -05.5369          	     ~	 4.4  	 4.4  	     ~	     ~	~                     
22  	* tet Aur                	a2*	089.93029218 +37.21258463  	 2.36 	 2.54 	 2.62 	 2.62 	 2.68 	A0VpSi                
23  	* ksi Vir                	*  	176.32100113 +08.25811528  	     ~	 5.006	 4.845	     ~	 4.67 	A4V                   
24  	* 28 Mon                 	Ro*	120.30556558 -01.39260930  	     ~	 6.203	 4.692	     ~	     ~	K4III                 
25  	* tau Gem                	** 	107.78487675 +30.24516198  	 7.08 	 5.68 	 4.42 	 3.45 	 2.82 	K2III                 
26  	* del Pyx                	*  	133.88153951 -27.68186985  	     ~	 5.00 	 4.89 	     ~	     ~	A3IV                  
27  	* del Cas                	Al*	021.45396446 +60.23528403  	 2.930	 2.810	 2.680	 2.53 	 2.44 	A5IV                  
28  	* pi. Eri                	LP?	056.53556587 -12.10159117  	 8.05 	 6.04 	 4.42 	 3.08 	 2.03 	M1III                 
29  	* ksi Pup                	*  	117.32356528 -24.85978624  	 5.72 	 4.56 	 3.30 	 2.43 	 1.88 	G6Ia                  
30  	[CCA99] UGC 4017b        	PoG	116.73229 +39.00719        	     ~	 3.17 	 3.62 	 4.00 	     ~	~                     
31  	* lam Per                	*  	061.64601498 +50.35126388  	 4.27 	 4.31 	 4.29 	 4.21 	 4.19 	A0IVn                 
32  	V* AW CVn                	sr*	207.94781393 +34.44423924  	 8.36 	 6.40 	 4.74 	 3.21 	 1.93 	K5III                 
33  	* omi Leo                	SB*	145.28763770 +09.89230838  	 4.22 	 4.01 	 3.52 	 3.11 	 2.88 	F8-G0III+A7m          
