C.D.S.  -  SIMBAD4 rel 1.7  -  2022.01.28CET21:02:34

*\* [a-z]?? [A-Z]??
-------------------

Number of objects : 1334

 #  ;typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;        pm         ;Mag U 
----;-----------;-----------------------------------;---;---------------------------------------;-------------------;------
1   ;* alf Ant  ;* alf Ant                          ;PM*;10 27 09.1031293596 -31 04 03.982994888;  -83.335 8.269    ; 7.33 
2   ;* alf Aps  ;* alf Aps                          ;*  ;14 47 51.7120247 -79 02 41.103245      ;   -4.58 -15.88    ;     ~
3   ;* alf Aqr  ;* alf Aqr                          ;*  ;22 05 47.0359315 -00 19 11.456766      ;    18.25 -9.39    ; 4.65 
4   ;V* alf Aql ;* alf Aql                          ;dS*;19 50 46.99855 +08 52 05.9563          ;  536.23 385.29    ; 1.07 
5   ;V* alf Ara ;* alf Ara                          ;Be*;17 31 50.4915282 -49 52 34.122041      ;  -33.27 -67.22    ; 2.09 
6   ;* alf Ari  ;* alf Ari                          ;PM*;02 07 10.40570 +23 27 44.7032          ; 188.55 -148.08    ; 4.29 
7   ;V* alf Aur ;V* alf Aur                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
8   ;* alf Aur  ;* alf Aur                          ;SB*;05 16 41.35871 +45 59 52.7693          ;  75.25 -426.89    ; 1.33 
9   ;* alf Boo  ;* alf Boo                          ;RG*;14 15 39.67207 +19 10 56.6730          ;-1093.39 -2000.06  ; 2.46 
10  ;* alf Cae  ;* alf Cae                          ;PM*;04 40 33.71305 -41 51 49.5075          ; -140.39 -74.82    ; 4.79 
11  ;* alf Cam  ;* alf Cam                          ;s*b;04 54 03.0103983 +66 20 33.636467      ;     -0.13 6.89    ; 3.47 
12  ;V* alf Cam ;V* alf Cam                         ;V* ;No Coord.                              ;            ~ ~    ;     ~
13  ;* alf Cnc  ;* alf Cnc                          ;PM*;08 58 29.2106832115 +11 51 27.546169562; 36.109 -24.669    ;     ~
14  ;* alf CMi  ;* alf CMi                          ;SB*;07 39 18.11950 +05 13 29.9552          ;-714.59 -1036.80   ; 0.82 
15  ;* alf Cap  ;* alf02 Cap                        ;PM*;20 18 03.2559477 -12 32 41.468352      ;     62.63 2.66    ; 5.20 
16  ;* alf Car  ;* alf Car                          ;*  ;06 23 57.10988 -52 41 44.3810          ;    19.93 23.24    ;-0.49 
17  ;V* alf Cas ;* alf Cas                          ;PM*;00 40 30.4410679 +56 32 14.392170      ;   50.88 -32.13    ; 4.52 
