C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:13:28

m ???
-----

Number of objects : 110

 # ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;  plx   ;  radvel   ;  Mag V  
---;-----------;-----------------------------------;---;-----------------------------------;------------------;--------;-----------;---------
1  ;M   1      ;NAME CRAB NEB                      ;SNR;083.6331144560900 +22.0144871383400;  -11.513 2.302   ;0.511   ;~          ;     ~   
2  ;M   2      ;M 2                                ;GlC;323.36258 -00.82325                ;     3.51 -2.16   ;0.0612  ;-3.72      ;6.25     
3  ;M   3      ;M 3                                ;GlC;205.54842 +28.37728                ;    -0.14 -2.64   ;0.0245  ;-147.28    ;6.39     
4  ;M   4      ;M 4                                ;GlC;245.89675 -26.52575                ;  -12.48 -18.99   ;0.4995  ;71.05      ;     ~   
5  ;M   5      ;M 5                                ;GlC;229.63842 +02.08103                ;     4.06 -9.89   ;0.1139  ;53.70      ;5.95     
6  ;M   6      ;NAME Butterfly Cluster             ;OpC;265.0690 -32.2420                  ;-1.3662 -5.8063   ;2.1626  ;-9.47      ;     ~   
7  ;M   7      ;NAME Ptolemy's Cluster             ;OpC;268.4470 -34.8410                  ; 3.0722 -5.3157   ;3.5704  ;-14.7      ;     ~   
8  ;M   8      ;NAME Lagoon                        ;HII;270.9042 -24.3867                  ;            ~ ~   ;      ~ ;3.8        ;     ~   
9  ;M   9      ;M 9                                ;GlC;259.79908 -18.51625                ;    -2.21 -3.21   ;0.1117  ;310.75     ;8.42     
10 ;M  10      ;M 10                               ;GlC;254.28771 -04.10031                ;    -4.72 -6.54   ;0.1507  ;74.02      ;4.98     
11 ;M  11      ;NAME Amas de l'Ecu de Sobieski     ;OpC;282.7660 -06.2720                  ;  -1.568 -4.144   ;0.427   ;35.67      ;5.8      
12 ;M  12      ;M 12                               ;GlC;251.80908 -01.94853                ;    -0.15 -6.77   ;0.1584  ;-41.35     ;6.07     
13 ;M  13      ;NAME Hercules Globular Cluster     ;GlC;250.423475 +36.461319              ;    -3.18 -2.56   ;0.0813  ;-244.49    ;5.8      
14 ;M  14      ;M 14                               ;GlC;264.40063 -03.24592                ;    -3.66 -5.03   ;0.0589  ;-60.71     ;5.73     
15 ;M  15      ;M 15                               ;GlC;322.49304 +12.16700                ;    -0.63 -3.80   ;0.0522  ;-106.76    ;     ~   
16 ;M  16      ;NAME Eagle Nebula                  ;OpC;274.6880 -13.7920                  ;   0.178 -1.576   ;0.566   ;10.0       ;6.0      
17 ;M  17      ;NAME Villafranca O-009             ;OpC;275.1958 -16.1717                  ;    -0.04 -1.40   ;0.60    ;-44.577    ;     ~   
18 ;M  18      ;M 18                               ;OpC;274.9890 -17.0890                  ;  -0.508 -0.917   ;0.640   ;-14.0      ;     ~   
19 ;M  19      ;M 19                               ;GlC;255.65704 -26.26794                ;     -3.23 1.66   ;0.0935  ;145.54     ;5.57     
20 ;M  20      ;NAME Trifid Nebula                 ;OpC;270.6750 -22.9717                  ;     0.41 -1.69   ;0.79    ;-5.0       ;     ~   
21 ;M  21      ;M 21                               ;OpC;271.0360 -22.5050                  ;   0.525 -1.521   ;0.798   ;-18.22     ;     ~   
22 ;M  22      ;M 22                               ;GlC;279.09975 -23.90475                ;     9.82 -5.54   ;0.2639  ;-147.76    ;6.17     
23 ;M  23      ;M 23                               ;OpC;269.2370 -18.9870                  ;   0.284 -1.809   ;1.354   ;-31.73     ;     ~   
24 ;M  24      ;NAME Small Sgr Star Cloud          ;As*;274.2000 -18.5500                  ;            ~ ~   ;      ~ ;~          ;     ~   
25 ;M  25      ;IC 4725                            ;OpC;277.9370 -19.1140                  ;-1.7201 -6.1010   ;1.5043  ;3.09       ;     ~   
26 ;M  26      ;M 26                               ;OpC;281.3170 -09.3860                  ;   0.144 -1.411   ;0.524   ;4.0        ;8.87     
27 ;M  27      ;NAME Diabolo Nebula                ;PN ;299.9015132708700 +22.7211977943200;   10.520 3.699   ;2.57    ;-42.0      ;14.089   
28 ;M  28      ;M 28                               ;GlC;276.13704 -24.86983                ;    -0.33 -8.92   ;0.156   ;11.11      ;     ~   
29 ;M  29      ;M 29                               ;OpC;305.9430 +38.4870                  ;  -3.409 -5.771   ;0.553   ;-16.9      ;6.6      
30 ;M  30      ;M 30                               ;GlC;325.09217 -23.17986                ;    -0.73 -7.24   ;0.0676  ;-185.19    ;7.10     
31 ;M  31      ;NAME Andromeda                     ;G  ;010.684708 +41.268750              ;            ~ ~   ;6.0     ;-300.0     ;3.44     
32 ;M  32      ;M 32                               ;IG ;010.674271 +40.865169              ;     -17.0 -5.0   ;      ~ ;-199.0     ;8.08     
33 ;M  33      ;NAME Triangulum Galaxy             ;GiG;023.4620690621800 +30.6601751119800;    0.707 0.827   ;      ~ ;-179.2     ;5.72     
34 ;M  34      ;NGC 1039                           ;OpC;040.5310 +42.7220                  ; 0.7256 -5.7320   ;1.9536  ;-9.8       ;     ~   
35 ;M  35      ;NGC 2168                           ;OpC;092.2720 +24.3360                  ; 2.2784 -2.9336   ;1.1301  ;-6.37      ;     ~   
36 ;M  36      ;M 36                               ;OpC;084.0840 +34.1350                  ;  -0.155 -3.388   ;0.835   ;-1.2       ;6.0      
37 ;M  37      ;M 37                               ;OpC;088.0740 +32.5450                  ;   1.924 -5.648   ;0.666   ;7.7        ;5.6      
38 ;M  38      ;M 38                               ;OpC;082.1670 +35.8240                  ;   1.580 -4.424   ;0.874   ;-0.65      ;6.4      
39 ;M  39      ;NGC 7092                           ;OpC;322.8890 +48.2470                  ;-7.3569 -19.5993  ;3.3373  ;-5.4       ;     ~   
40 ;M  40      ;NAME Winnecke 4                    ;?  ;185.5500 +58.0833                  ;            ~ ~   ;      ~ ;~          ;     ~   
41 ;M  41      ;M 41                               ;OpC;101.4990 -20.7160                  ;  -4.339 -1.381   ;1.360   ;23.52      ;4.5      
42 ;M  42      ;NAME Great Orion Nebula            ;HII;083.8221 -05.3911                  ;     1.67 -0.30   ;      ~ ;27.8       ;     ~   
43 ;M  43      ;NAME Mairan's Nebula               ;HII;083.8792 -05.2700                  ;            ~ ~   ;      ~ ;~          ;     ~   
44 ;M  44      ;NAME Beehive                       ;OpC;130.0540 +19.6210                  ;-36.047 -12.917   ;5.371   ;34.72      ;     ~   
45 ;M  45      ;NAME Pleiades                      ;OpC;056.6010 +24.1140                  ; 19.997 -45.548   ;7.364   ;6.57       ;     ~   
46 ;M  46      ;NGC 2437                           ;OpC;115.4450 -14.8440                  ; -3.8232 0.3729   ;0.6005  ;49.04      ;     ~   
47 ;M  47      ;NGC 2422                           ;OpC;114.1470 -14.4890                  ; -7.0200 0.9592   ;2.0690  ;34.3       ;     ~   
48 ;M  48      ;NGC 2548                           ;OpC;123.4120 -05.7260                  ; -1.3302 1.0164   ;1.2897  ;41.5       ;     ~   
49 ;M  49      ;M 49                               ;Sy2;187.444992 +08.000411              ;            ~ ~   ;      ~ ;949        ;12.17    
50 ;M  50      ;NGC 2323                           ;OpC;105.6979 -08.3378                  ;-0.7977 -0.6540   ;1.0012  ;11.55      ;     ~   
51 ;M  51      ;NAME Whirlpool                     ;GiP;202.469575 +47.195258              ;            ~ ~   ;7.8     ;465        ;8.36     
52 ;M  52      ;M 52                               ;OpC;351.1950 +61.5900                  ;  -1.938 -1.131   ;0.596   ;-40.0      ;     ~   
53 ;M  53      ;M 53                               ;GlC;198.23021 +18.16817                ;    -0.11 -1.35   ;0.0157  ;-62.85     ;7.79     
54 ;M  54      ;M 54                               ;GlC;283.76387 -30.47986                ;    -2.73 -1.38   ;0.0267  ;143.06     ;     ~   
55 ;M  55      ;M 55                               ;GlC;294.99879 -30.96475                ;    -3.41 -9.27   ;0.1736  ;174.40     ;6.49     
56 ;M  56      ;M 56                               ;GlC;289.14821 +30.18347                ;     -2.02 1.65   ;0.0755  ;-136.97    ;     ~   
57 ;M  57      ;NAME Ring Nebula                   ;PN ;283.3962365246300 +33.0291342465400;    1.645 2.472   ;1.2696  ;-19.1      ;15.769   
58 ;M  58      ;M 58                               ;SyG;189.431654 +11.818089              ;            ~ ~   ;      ~ ;1517       ;9.66     
59 ;M  59      ;M 59                               ;GiG;190.5094089063200 +11.6469193077100;  -0.055 -0.283   ;      ~ ;431        ;     ~   
60 ;M  60      ;M 60                               ;GiP;190.9165451049699 +11.5526911594600;            ~ ~   ;      ~ ;1015       ;     ~   
61 ;M  61      ;M 61                               ;Sy2;185.4788677428699 +04.4737770464400;   -0.110 0.144   ;0.0797  ;1566       ;9.65     
62 ;M  62      ;M 62                               ;GlC;255.30250 -30.11236                ;    -4.99 -2.95   ;0.1451  ;-73.49     ;7.39     
63 ;M  63      ;NAME Sunflower Galaxy              ;LIN;198.9553091224699 +42.0293689100300;  -0.309 -0.076   ;0.0147  ;503        ;8.59     
64 ;M  64      ;NAME Black Eye Galaxy              ;SyG;194.182067 +21.682658              ;            ~ ~   ;      ~ ;408        ;8.52     
65 ;M  65      ;M 65                               ;GiP;169.7329519394900 +13.0923057510200;            ~ ~   ;      ~ ;803        ;     ~   
66 ;M  66      ;M 66                               ;GiP;170.062608 +12.991289              ;            ~ ~   ;      ~ ;716        ;8.92     
67 ;M  67      ;NGC 2682                           ;OpC;132.8460 +11.8140                  ;-10.9737 -2.9396  ;1.1325  ;33.92      ;     ~   
68 ;M  68      ;M 68                               ;GlC;189.86658 -26.74406                ;     -2.75 1.78   ;0.0618  ;-92.99     ;7.96     
69 ;M  69      ;M 69                               ;GlC;277.84625 -32.34808                ;    -5.12 -5.81   ;0.0855  ;46.63      ;8.31     
70 ;M  70      ;M 70                               ;GlC;280.80317 -32.29211                ;     1.39 -4.72   ;0.1265  ;216.62     ;9.06     
71 ;M  71      ;M 71                               ;GlC;298.44371 +18.77919                ;    -3.41 -2.61   ;0.2287  ;-22.27     ;6.1      
72 ;M  72      ;M 72                               ;GlC;313.36542 -12.53731                ;    -1.29 -3.32   ;0.015   ;-331.39    ;8.96     
73 ;M  73      ;M 73                               ;Cl*;314.7500 -12.6333                  ;            ~ ~   ;      ~ ;~          ;8.9      
74 ;M  74      ;M 74                               ;G  ;024.1739380152600 +15.7836409756400;   0.344 -0.229   ;      ~ ;657        ;9.46     
75 ;M  75      ;M 75                               ;GlC;301.520171 -21.922261              ;    -0.58 -2.78   ;0.0201  ;-189.08    ;8.26     
76 ;M  76      ;NAME Barbell Nebula                ;PN ;025.5818990534200 +51.5754263805700;   2.586 -2.959   ;0.2945  ;-23.6      ;17.48    
77 ;M  77      ;M 77                               ;GiP;040.6696215289200 -00.0132943583900;            ~ ~   ;      ~ ;1139.9     ;8.87     
78 ;M  78      ;M 78                               ;RNe;086.6908 +00.0792                  ;    -0.93 -4.50   ;      ~ ;63.30      ;     ~   
79 ;M  79      ;M 79                               ;GlC;081.04413 -24.52425                ;     2.47 -1.59   ;0.037   ;205.84     ;8.16     
80 ;M  80      ;M 80                               ;GlC;244.26004 -22.97608                ;    -2.93 -5.59   ;0.0501  ;10.93      ;     ~   
81 ;M  81      ;NAME M 81*                         ;Sy2;148.8882193985400 +69.0652951403800;   0.278 -0.072   ;0.1495  ;-42        ;6.94     
82 ;M  82      ;NAME UMa A                         ;IG ;148.968458 +69.679703              ;            ~ ~   ;      ~ ;219        ;8.41     
83 ;M  83      ;NAME Southern Pinwheel Galaxy      ;SBG;204.25383000 -29.86576111          ;            ~ ~   ;      ~ ;519.1      ;7.52     
84 ;M  84      ;M 84                               ;Sy2;186.26559721 +12.88698314          ;-0.08289 -0.05116 ;      ~ ;979        ;10.49    
85 ;M  85      ;M 85                               ;GiP;186.350221 +18.191081              ;            ~ ~   ;      ~ ;769        ;     ~   
86 ;M  86      ;NAME FAUST V051                    ;GiG;186.549225 +12.945969              ;            ~ ~   ;      ~ ;-302       ;8.90     
87 ;M  87      ;NAME M 87*                         ;BiC;187.70593075958 +12.39112329392    ;  -8.029 10.734   ;      ~ ;1256       ;8.63     
88 ;M  88      ;M 88                               ;Sy2;187.9964687760200 +14.4203191588400;            ~ ~   ;      ~ ;2282       ;13.18    
89 ;M  89      ;M 89                               ;LIN;188.9158639350 +12.5563418914      ;            ~ ~   ;      ~ ;274        ;9.75     
90 ;M  90      ;M 90                               ;Sy2;189.2075040999500 +13.1629232814000;  -0.238 -0.395   ;0.072   ;-221       ;9.54     
91 ;M  91      ;M 91                               ;LIN;188.8601861505499 +14.4963223149300;            ~ ~   ;      ~ ;479        ;13.57    
92 ;M  92      ;M 92                               ;GlC;259.28079 +43.13594                ;            ~ ~   ;0.0562  ;-120.48    ;6.52     
93 ;M  93      ;NGC 2447                           ;OpC;116.1410 -23.8530                  ; -3.5680 5.0434   ;0.9603  ;21.7       ;     ~   
94 ;M  94      ;M 94                               ;SyG;192.7211408214300 +41.1202502457300;    0.714 0.800   ;      ~ ;287        ;8.24     
95 ;M  95      ;M 95                               ;GiP;160.9905472857500 +11.7036947753700;            ~ ~   ;      ~ ;777        ;9.73     
96 ;M  96      ;M 96                               ;GiP;161.690600 +11.819939              ;            ~ ~   ;      ~ ;893        ;9.25     
97 ;M  97      ;NAME Owl Nebula                    ;PN ;168.6988012282500 +55.0190230089100;    0.076 1.214   ;1.2347  ;0          ;15.777   
98 ;M  98      ;M 98                               ;LIN;183.4512127862400 +14.9005426320000;            ~ ~   ;      ~ ;-138       ;10.14    
99 ;M  99      ;NAME Coma Pinwheel                 ;H2G;184.706771 +14.416489              ;            ~ ~   ;      ~ ;2404       ;9.87     
100;M 100      ;M 100                              ;AGN;185.7288749973299 +15.8223045161000;    2.189 0.260   ;      ~ ;1570       ;9.35     
101;M 101      ;NAME Pinwheel                      ;GiP;210.802429 +54.348750              ;            ~ ~   ;      ~ ;243        ;7.86     
102;M 102      ;M 102                              ;SyG;226.623171 +55.763308              ;            ~ ~   ;      ~ ;757        ;9.89     
103;M 103      ;M 103                              ;OpC;023.3390 +60.6590                  ;  -1.384 -0.497   ;0.373   ;-45.7      ;7.4      
104;M 104      ;NAME Sombrero                      ;LIN;189.9976260424299 -11.6230522957800;            ~ ~   ;      ~ ;1090       ;8.00     
105;M 105      ;M 105                              ;LIN;161.956667 +12.581631              ;            ~ ~   ;      ~ ;875        ;9.76     
106;M 106      ;M 106                              ;Sy2;184.740083 +47.303719              ;            ~ ~   ;      ~ ;462        ;8.41     
107;M 107      ;M 107                              ;GlC;248.13275 -13.05378                ;    -1.93 -5.98   ;0.1491  ;-34.68     ;8.85     
108;M 108      ;M 108                              ;SBG;167.879029 +55.674122              ;            ~ ~   ;      ~ ;697        ;     ~   
109;M 109      ;M 109                              ;GiG;179.3998464498500 +53.3747239117600;    0.320 0.067   ;0.1077  ;1046       ;     ~   
110;M 110      ;M 110                              ;GiG;010.0919051458300 +41.6854186722600;  -1.705 -0.672   ;      ~ ;-246.0     ;8.07     
================================================================================

