C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST21:17:30

ngc ????
--------

Number of objects : 7359

 #  ;typed ident;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm        ;   plx   ;   radvel    ;  Mag V  
----;-----------;-----------------------------------;---;-----------------------------------;------------------;---------;-------------;---------
1   ;NGC     1  ;NGC 1                              ;GiP;001.8160677656500 +27.7080611425400;            ~ ~   ;      ~  ;4535.5       ;     ~   
2   ;NGC     2  ;NGC 2                              ;GiP;001.8213150159200 +27.6783430179100;            ~ ~   ;      ~  ;7559         ;     ~   
3   ;NGC     3  ;NGC 3                              ;G  ;001.8199915713700 +08.3016601559400;            ~ ~   ;      ~  ;3832         ;     ~   
4   ;NGC     4  ;NGC 4                              ;G  ;001.8517 +08.3750                  ;            ~ ~   ;      ~  ;~            ;     ~   
5   ;NGC     5  ;NGC 5                              ;G  ;001.9536083312700 +35.3622620673400;            ~ ~   ;      ~  ;4992         ;     ~   
6   ;NGC     7  ;NGC 7                              ;G  ;002.0846 -29.9169                  ;            ~ ~   ;      ~  ;1505.2       ;     ~   
7   ;NGC     8  ;NGC 8                              ;** ;002.1888 +23.8386                  ;            ~ ~   ;      ~  ;~            ;     ~   
8   ;NGC     9  ;NGC 9                              ;EmG;002.2278443621200 +23.8168953675000;            ~ ~   ;      ~  ;4534         ;     ~   
9   ;NGC    10  ;NGC 10                             ;EmG;002.1439121668900 -33.8583881824900;            ~ ~   ;      ~  ;6739         ;     ~   
10  ;NGC    11  ;NGC 11                             ;G  ;002.177058 +37.447886              ;            ~ ~   ;      ~  ;4366         ;     ~   
11  ;NGC    12  ;NGC 12                             ;G  ;002.1864220552700 +04.6125743843200;            ~ ~   ;      ~  ;3932         ;     ~   
12  ;NGC    13  ;NGC 13                             ;GiG;002.1988127678200 +33.4333261224900;    0.576 0.230   ;      ~  ;4820         ;     ~   
13  ;NGC    14  ;NGC 14                             ;IG ;002.1934423913400 +15.8156990470200;   0.655 -8.752   ;0.8799   ;855          ;     ~   
