C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
----;-----------------------------------;-----------------------------------;--------------------;----------;------------;---------
1   ;HD 200253                          ;315.3036031811200 +36.0260118273700;  -4.819 -5.156     ;5.387     ;-8.80       ;5.997    
2   ;* tau Cyg                          ;318.69788551 +38.04531782          ;  196.99 410.28     ;49.16     ;-20.90      ;3.730    
3   ;* 61 Cyg A                         ;316.7247482895925 +38.7494173194369;4164.209 3249.614   ;285.9949  ;-65.82      ;5.21     
4   ;* sig Cyg                          ;319.3539685017 +39.3946813328      ;    -0.13 -3.58     ;1.13      ;-5.30       ;4.24     
5   ;V* V1334 Cyg                       ;319.8424131369400 +38.2374635626800;    2.293 0.226     ;1.0831    ;-1.80       ;5.882    
6   ;* 74 Cyg                           ;324.2373967167000 +40.4135256300500;  -1.228 11.238     ;15.2874   ;5.30        ;5.035    
7   ;HD 206749                          ;325.7769639621499 +41.1549729747900;-18.324 -13.938     ;5.7176    ;-27.48      ;5.505    
8   ;* 77 Cyg                           ;325.5956619721 +41.0770204597      ;    23.48 -1.02     ;7.91      ;-24.5       ;5.726    
9   ;HD 211211                          ;333.6848389016500 +42.9538996748300; 49.458 -21.212     ;12.1647   ;-30.70      ;5.720    
10  ;* 6 Lac                            ;337.6219168554 +43.1233767875      ;    -1.98 -5.36     ;1.90      ;-8.70       ;4.511    
11  ;HD 215664                          ;341.5425921748600 +44.5460548003700; 142.689 32.352     ;17.8595   ;-10.2       ;5.840    
12  ;* 11 Lac                           ;340.1285783617 +44.2763067336      ;    93.83 10.71     ;9.80      ;-11.53      ;4.46     
13  ;HD 216608                          ;343.4173371580200 +44.7491709489800;-13.846 -24.736     ;18.1487   ;4.50        ;5.808    
14  ;HD 216608A                         ;343.417317 +44.749161              ;     -2.9 -16.6     ;      ~   ;~           ;5.940    
15  ;* 4 And                            ;346.9136133422700 +46.3872306074500;-12.734 -30.026     ;9.155     ;-11.86      ;5.294    
16  ;* psi And                          ;356.5085293096100 +46.4202740163600;   8.446 -7.143     ;1.6352    ;-23.163     ;4.966    
17  ;* lam And                          ;354.3910115836791 +46.4581513114192;159.606 -421.822    ;38.5736   ;6.84        ;3.82     
18  ;HD 224165                          ;358.8894811404800 +47.3558038243600; -11.027 -7.272     ;1.9092    ;-17.23      ;5.989    
19  ;* 22 And                           ;002.5801941408 +46.0722722236      ;      5.49 0.28     ;2.65      ;-5.4        ;5.04     
20  ;* pi. Cas                          ;010.8669570112600 +47.0245457774600;-24.570 -36.886     ;18.6293   ;12.90       ;4.949    
21  ;* ksi And                          ;020.5850836482100 +45.5287767357900;   31.681 9.024     ;14.6042   ;-12.97      ;4.868    
22  ;HD 8671                            ;021.5778595538000 +43.4577416488000;108.632 -59.657     ;23.4377   ;31.59       ;5.978    
23  ;* ome And                          ;021.9140863146646 +45.4066847576183;357.564 -110.039    ;34.7332   ;12.40       ;4.83     
24  ;* chi And                          ;024.8374523883700 +44.3861749765200;  -13.395 8.635     ;12.3592   ;6.91        ;5.008    
25  ;HD 10204                           ;025.1652394071600 +43.2976700920500;101.517 -40.752     ;11.7559   ;17.4        ;5.629    
26  ;HD 10307                           ;025.4463618921246 +42.6133948799494;824.761 -156.423    ;68.0244   ;3.33        ;4.96     
