C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
1   	* 1 Aur                  	*  	072.47766440 +37.48827600  	     ~	 6.363	 4.884	     ~	     ~	K4III                 
2   	* 22 Cyg                 	SB*	298.96567867 +38.48670560  	 4.34 	 4.854	 4.943	     ~	     ~	B5IV                  
3   	* 21 LMi                 	dS*	151.85734566 +35.24469347  	 4.74 	 4.67 	 4.49 	 4.31 	 4.24 	A7V(n)                
4   	[BAB2009] F              	PoG	116.724875 +39.018403      	     ~	 0.120	 0.143	 0.173	     ~	~                     
5   	* 15 Eri                 	** 	049.59210433 -22.51111641  	     ~	 5.762	 4.875	     ~	     ~	K0III                 
6   	* ksi Leo                	V* 	142.98641194 +11.29983148  	     ~	 6.024	 4.973	     ~	     ~	K0III                 
7   	* 4 Dra                  	SB*	187.52774990 +69.20112766  	 8.38 	 6.57 	 4.95 	     ~	     ~	M3+IIIa               
8   	* iot Ant                	*  	164.17938358 -37.13776532  	 6.47 	 5.63 	 4.60 	 3.85 	 3.32 	K0III                 
9   	* kap Aql                	*  	294.22270632 -07.02747710  	 4.050	 4.930	 4.960	 4.90 	 4.94 	B0.5IIIn              
10  	* 145 CMa                	*  	109.15347596 -23.31559438  	 8.37 	 6.50 	 4.79 	 3.47 	 2.51 	K4III                 
11  	* psi And                	** 	356.50852762 +46.42027190  	     ~	 6.067	 4.982	     ~	     ~	G8Ib+B8IV             
12  	* 30 Oph                 	*  	255.26501106 -04.22264398  	     ~	 6.340	 4.827	     ~	     ~	K4III                 
13  	* ome01 Cyg              	bC*	307.51475482 +48.95156794  	 4.23 	 4.849	 4.938	     ~	     ~	B2.5IV                
14  	* 16 Pup                 	*  	122.25682254 -19.24501446  	 3.65 	 4.247	 4.390	     ~	     ~	B5V                   
15  	* 32 Eri                 	** 	058.57292417 -02.95473430  	     ~	 5.13 	 4.45 	     ~	     ~	G8III+A1V             
16  	* 17 Crt                 	** 	173.06835030 -29.26102134  	     ~	 5.52 	 4.99 	     ~	     ~	F8V                   
17  	* gam02 Ari              	*  	028.382367 +19.294078      	     ~	 4.49 	 4.52 	     ~	     ~	kA0hA3(IV)SiSr        
18  	* eta UMa                	V* 	206.88515734 +49.31326673  	 0.99 	 1.67 	 1.86 	 1.98 	 2.16 	B3V                   
19  	* 12 Lyn                 	** 	101.55887578 +59.44167297  	     ~	 4.95 	 4.87 	     ~	     ~	A3V                   
20  	HR 2881                  	*  	112.67750963 -30.96228158  	 6.21 	 5.58 	 4.65 	 3.98 	 3.51 	G2Iab/b               
21  	* phi Cyg                	SB*	294.84419128 +30.15332234  	     ~	 5.648	 4.685	     ~	     ~	G8III                 
22  	* 16 Per                 	dS*	042.64608245 +38.31864112  	     ~	 4.57 	 4.20 	 4.0  	 3.8  	F2III                 
23  	* 39 Cyg                 	SB*	305.96508624 +32.19017197  	 7.27 	 5.77 	 4.44 	 3.43 	 2.76 	K3III                 
24  	[BAB2009] A              	PoG	116.742542 +39.014233      	     ~	 0.504	 0.544	 0.587	     ~	~                     
