" coord1 (ICRS,J2000/2000)  "	        pm        	Mag V 
---------------------------	------------------	------
228.65549970 -31.51912602  	    -8.91 -0.07   	4.924
072.47766440 +37.48827600  	   -36.89 38.85   	4.884
027.86514510 -10.33503581  	   40.80 -37.25   	3.72
183.85650264 +57.03261544  	    104.11 7.30   	3.32
272.14506078 -63.66855295  	  18.02 -207.57   	4.333
137.81967038 -62.31698042  	   -37.48 14.59   	3.947
006.022329 -72.081444      	      3.44 0.00   	4.09
186.64956340 -63.09909286  	  -35.83 -14.86   	0.81
107.91386775 +39.32055194  	     47.57 3.38   	4.907
203.673937 -00.595939      	  -280.48 49.05   	3.38
130.15428159 -59.76100186  	     -6.63 5.32   	4.318
252.30924256 +45.98332279  	   22.57 -51.35   	4.823
271.364046 +02.499811      	  276.3 -1091.8   	4.123
182.08957349 -50.72242740  	   -49.94 -7.19   	2.52
067.10987515 +16.35967308  	     7.91 18.14   	4.971
188.68338883 +70.02176833  	   -30.44 -1.89   	4.956
112.30762705 -43.30143324  	  -59.55 188.31   	3.25
134.62176132 +11.85770033  	   43.23 -29.63   	4.259
049.84040133 +03.37019865  	   269.30 93.75   	4.85
310.35797975 +45.28033881  	      2.01 1.85   	1.25
258.03831522 -43.23919182  	  24.47 -288.55   	3.33
185.62629903 +25.84616263  	   -11.42 -7.92   	4.81
053.44698387 -21.63288417  	   44.94 -28.16   	4.3
101.28715533 -16.71611586  	-1769.08	-1.46
285.77865408 -42.09510717  	   56.41 -46.43   	4.734
340.87490227 -41.41434630  	   10.11 -93.79   	4.847
228.07123314 -52.09924776  	 -112.92 -71.18   	3.41
191.28261523 +45.44025692  	    -1.40 13.24   	4.87
142.99553036 -01.18466385  	   -12.60 -3.99   	4.555
102.48403524 -50.61456769  	   34.36 -69.11   	2.93
235.38772788 +19.67039944  	  -60.86 -43.69   	4.509
007.85408526 -48.80351495  	   140.49 19.25   	4.77
049.87917599 -21.75786249  	    51.89 32.92   	3.7
298.96567867 +38.48670560  	      2.20 0.67   	4.943
095.94208 +04.59283        	            ~ ~   	4.3
303.40794392 +46.74132799  	      4.78 1.21   	3.8
229.45765869 -30.14867126  	   -10.16 -3.66   	4.33
111.67854946 +49.21152519  	  -10.22 -49.29   	4.614
076.62872239 +41.23447576  	   31.45 -67.87   	3.18
013.25206051 -01.14425880  	    6.99 -15.66   	4.76
189.5845287 -60.7422598    	            ~ ~   	0
261.34858046 -56.37772633  	   -0.44 -15.77   	3.34
311.21876832 +25.27061561  	 -29.06 -177.96   	4.91
189.6062917 -60.4753127    	            ~ ~   	0
151.85734566 +35.24469347  	     52.90 0.62   	4.49
064.94834937 +15.62764318  	  115.46 -23.42   	3.65
338.83908859 -00.11749690  	   89.74 -55.81   	4.03
284.73592673 +32.68955564  	     -3.09 1.11   	3.25
248.03416595 -21.46639223  	    21.12 35.26   	4.45
344.10832574 +49.73354255  	    -0.48 -3.43   	4.94
050.035812 +36.182794      	      9.7 -11.0   	0
076.862529 +18.645050      	     537.4 19.3   	4.99
193.32394594 +21.24494701  	  -37.66 -30.14   	4.91
021.40514653 -14.59879638  	   42.94 -17.26   	4.918
104.40461287 +45.09409456  	   -21.52 -3.12   	4.9
319.96662314 -53.44942541  	  107.90 -66.41   	4.4
343.66255630 -15.82082729  	  -42.60 -27.89   	3.28
185.17927725 +17.79287033  	  -108.81 89.44   	4.74
105.42978244 -27.93483049  	     -5.98 4.59   	3.47
296.06918684 +37.35435536  	    72.46 35.18   	4.899
332.71365381 +58.20126267  	     13.52 5.24   	3.35
287.44097053 -21.02361398  	   -1.36 -36.45   	2.88
274.40681272 -36.76168520  	-295.82	3.11
245.99785807 +61.51421387  	   -17.02 56.95   	2.74
172.57872098 -03.00349735  	   19.35 -15.82   	4.77
081.119704 -02.397033      	            ~ ~   	4.895
133.84844223 +05.94556539  	  -100.06 15.46   	3.1
230.844404 -59.320703      	            ~ ~   	4.51
198.81225511 -67.89459100  	  -36.46 -11.36   	4.774
290.41816424 -17.84719912  	   -25.87 21.46   	3.93
354.94611576 -14.22217712  	   51.25 -55.35   	4.985
264.23789178 +68.75797115  	    2.58 321.73   	4.8
208.88494020 -47.28837451  	  -57.37 -44.55   	2.55
244.935158 +46.313369      	     -12.5 40.4   	3.876
140.37329522 -25.96543897  	   -12.24 -9.29   	4.72
214.00362294 -06.00054537  	 -26.31 -419.38   	4.08
169.545425 +31.529161      	  -453.7 -591.4   	4.264
271.83743304 +09.56384725  	   -62.17 79.66   	3.73
030.00128817 -21.07783183  	  134.92 -24.59   	4.02
299.23679853 -27.16990026  	   10.46 -15.52   	4.544
182.53116909 -22.61976722  	   -71.74 10.25   	2.98
187.00992533 -50.23063535  	  -32.36 -12.51   	3.91
115.95195301 -28.95482556  	     -5.09 3.90   	3.93
189.9511019 -60.5885857    	            ~ ~   	0
244.57458402 -28.61402133  	 -31.19 -100.92   	4.792
240.03053273 -38.39670868  	  -16.96 -27.83   	3.41
287.50731584 -39.34079566  	    4.37 -36.65   	4.117
056.04989945 -64.80690582  	   307.13 77.50   	3.85
136.03866617 -47.09773743  	   -47.45 -9.75   	3.75
232.94575756 +40.89933680  	  -13.71 -13.00   	4.997
258.76180984 +36.80916231  	    -27.29 2.82   	3.18
056.21890368 +24.11333645  	   20.84 -46.06   	3.7
147.91945058 -46.54762155  	    -23.81 9.35   	4.58
056.079721 +32.288242      	      9.3 -13.7   	3.91
085.61930317 +01.47462933  	  -54.06 -14.60   	4.9
130.05340694 +64.32793611  	   -60.05 26.40   	4.61
