C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST11:14:12

Vmag <  6 & cat = '*' & pm  > 0 & plx  > 0 & radvel  > 0
--------------------------------------------------------

Number of objects : 1518

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;        pm         ;   plx    ;  radvel  ;  Mag V  
----;-----------------------------------;---;-----------------------------------;-------------------;----------;----------;---------
1   ;* 74 Cyg                           ;*  ;324.2373967167000 +40.4135256300500;  -1.228 11.238    ;15.2874   ;5.30      ;5.035    
2   ;* lam And                          ;RS*;354.3910115836791 +46.4581513114192;159.606 -421.822   ;38.5736   ;6.84      ;3.82     
3   ;* pi. Cas                          ;SB*;010.8669570112600 +47.0245457774600;-24.570 -36.886    ;18.6293   ;12.90     ;4.949    
4   ;* ome And                          ;** ;021.9140863146646 +45.4066847576183;357.564 -110.039   ;34.7332   ;12.40     ;4.83     
5   ;* chi And                          ;SB*;024.8374523883700 +44.3861749765200;  -13.395 8.635    ;12.3592   ;6.91      ;5.008    
6   ;* 20 Per                           ;** ;043.42755351 +38.33748699          ;   46.79 -78.90    ;14.15     ;7.00      ;5.343    
7   ;* 7 And                            ;PM*;348.1375158304 +49.4062070853      ;    90.23 95.56    ;40.67     ;12.10     ;4.52     
8   ;* 11 And                           ;PM*;349.8741989174300 +48.6253230796400;  22.130 52.573    ;11.3828   ;9.99      ;5.440    
9   ;* 18 And                           ;*  ;354.7847152248800 +50.4717326487800; -17.057 -2.041    ;7.7914    ;9.90      ;5.35     
10  ;* pi. Per                          ;*  ;044.6902923413800 +39.6627265502000; 25.048 -41.522    ;10.4437   ;14.2      ;4.70     
11  ;* rho Per                          ;LP*;046.29414106 +38.84027619          ; 129.22 -105.70    ;10.60     ;30.81     ;3.39     
12  ;* 68 Cyg                           ;SB*;319.6132759246900 +43.9459442077400;   4.632 -8.487    ;1.4498    ;1.0       ;5.00     
13  ;* rho Cyg                          ;PM*;323.4952210208758 +45.5918389042942;-24.341 -93.511    ;25.9359   ;6.88      ;4.02     
14  ;* 9 Lac                            ;PM*;339.3434052733 +51.5451217614      ; -51.83 -103.80    ;19.00     ;10.10     ;4.63     
15  ;* nu. Cas                          ;V* ;012.2084228956400 +50.9681651272100;  29.453 -8.152    ;9.1537    ;9.00      ;4.891    
16  ;* ups Per                          ;PM*;024.4981541358 +48.6282137592      ;  61.95 -112.15    ;18.41     ;16.264    ;3.57     
17  ;* ome Per                          ;*  ;047.8224233704 +39.6115837217      ;    -26.26 5.40    ;11.32     ;6.87      ;4.607    
18  ;* bet Per                          ;EB*;047.0422185563 +40.9556466703      ;     2.99 -1.66    ;36.27     ;4.0       ;2.12     
19  ;* 2 Per                            ;SB*;028.0390512861400 +50.7927928087800; 17.532 -29.090    ;6.8219    ;11.40     ;5.689    
20  ;* kap Per                          ;PM*;047.3741818335442 +44.8574582857297;165.691 -138.559   ;28.7314   ;29.40     ;3.81     
