C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
----;---------------------------;-----------------------------------;-----------------------------------;--------------------;----------;------------;---------
1   ;* 21 LMi                   ;* 21 LMi                           ;151.8573456575 +35.2446934639      ;     52.90 0.62     ;35.41     ;-11.40      ;4.49     
2   ;NGC 3114                   ;NGC 3114                           ;150.5530 -60.0410                  ;   -7.376 3.779     ;0.954     ;-3.5        ;4.2      
3   ;[BAB2009] F                ;[BAB2009] F                        ;116.724875 +39.018403              ;            ~ ~     ;      ~   ;~           ;     ~   
4   ;* c Vel                    ;* c Vel                            ;136.0386661725 -47.0977374306      ;   -47.45 -9.75     ;10.89     ;24.30       ;3.75     
5   ;* f Cen                    ;* f Cen                            ;196.5696004725 -48.4632905547      ;  -29.85 -15.17     ;8.36      ;6.00        ;4.691    
6   ;* 4 Dra                    ;* 4 Dra                            ;187.5277583191100 +69.2011039547000;-57.311 -50.365     ;5.7233    ;-15.80      ;4.95     
7   ;* iot Ant                  ;* iot Ant                          ;164.1793800789600 -37.1377674098800;74.069 -124.443     ;15.7132   ;2.30        ;4.60     
8   ;* 145 CMa                  ;* 145 CMa                          ;109.1534773210400 -23.3155939638500;   -3.816 3.896     ;1.2155    ;28.05       ;4.79     
9   ;* 30 Oph                   ;* 30 Oph                           ;255.2650074069200 -04.2226438466300;-40.370 -78.455     ;8.9274    ;-8.26       ;4.812    
10  ;* ups Car                  ;* ups Car                          ;146.77550706 -65.07200742          ;    -11.51 4.71     ;2.27      ;13.60       ;2.99     
11  ;* 16 Pup                   ;* 16 Pup                           ;122.2568225383 -19.2450144608      ;    -9.87 -5.55     ;7.01      ;19.90       ;4.393    
12  ;* gam Lup A                ;* gam Lup A                        ;233.785161629 -41.166791950        ;    -28.2 -42.0     ;      ~   ;~           ;3.48     
13  ;* J Cen                    ;* J Cen                            ;200.6580545899342 -60.9883806005858;-29.518 -21.698     ;8.8824    ;6.00        ;4.509    
14  ;* ome Aur A                ;* ome Aur                          ;074.8142056793500 +37.8902447746600; 45.340 -97.647     ;20.2399   ;7.70        ;5.00     
15  ;* eta UMa                  ;* eta UMa                          ;206.88515734 +49.31326673          ; -121.17 -14.91     ;31.38     ;-13.40      ;1.86     
16  ;* del Hyi                  ;* del Hyi                          ;035.4372598550800 -68.6594185895800;  -50.395 3.214     ;23.2796   ;6.00        ;4.09     
17  ;* phi Cyg                  ;* phi Cyg                          ;294.8441913018500 +30.1533214664600;   1.520 35.883     ;12.7786   ;4.50        ;4.673    
18  ;* alf Hyi                  ;* alf Hyi                          ;029.6924777913 -61.5698596606      ;   263.66 26.77     ;45.43     ;8.70        ;2.84     
19  ;[BAB2009] A                ;[BAB2009] A                        ;116.742542 +39.014233              ;            ~ ~     ;      ~   ;~           ;     ~   
20  ;* q Car                    ;* q Car                            ;154.2707304375 -61.3323023058      ;    -24.73 7.20     ;4.96      ;8.20        ;3.350    
