C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST16:20:32

Vmag <  5.3 &
cat = '*' &
(pm <  0 | pm  > 0) &
plx != 0 &
radvel != 0
--------------------------------------------------------------------------

Number of objects : 1935

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag V  
----;-----------------------------------;---;-----------------------------------;--------------------;----------;-----------;---------
1   ;* tau Cyg                          ;dS*;318.69788551 +38.04531782          ;  196.99 410.28     ;49.16     ;-20.90     ;3.730    
2   ;* 61 Cyg A                         ;BY*;316.7247482895925 +38.7494173194369;4164.209 3249.614   ;285.9949  ;-65.82     ;5.21     
3   ;* sig Cyg                          ;sg*;319.3539685017 +39.3946813328      ;    -0.13 -3.58     ;1.13      ;-5.30      ;4.24     
4   ;* 74 Cyg                           ;*  ;324.2373967167000 +40.4135256300500;  -1.228 11.238     ;15.2874   ;5.30       ;5.035    
5   ;* 6 Lac                            ;SB*;337.6219168554 +43.1233767875      ;    -1.98 -5.36     ;1.90      ;-8.70      ;4.511    
6   ;* 11 Lac                           ;PM*;340.1285783617 +44.2763067336      ;    93.83 10.71     ;9.80      ;-11.53     ;4.46     
7   ;* 4 And                            ;*  ;346.9136133422700 +46.3872306074500;-12.734 -30.026     ;9.155     ;-11.86     ;5.294    
8   ;* psi And                          ;** ;356.5085293096100 +46.4202740163600;   8.446 -7.143     ;1.6352    ;-23.163    ;4.966    
9   ;* lam And                          ;RS*;354.3910115836791 +46.4581513114192;159.606 -421.822    ;38.5736   ;6.84       ;3.82     
10  ;* 22 And                           ;*  ;002.5801941408 +46.0722722236      ;      5.49 0.28     ;2.65      ;-5.4       ;5.04     
11  ;* pi. Cas                          ;SB*;010.8669570112600 +47.0245457774600;-24.570 -36.886     ;18.6293   ;12.90      ;4.949    
12  ;* ksi And                          ;*  ;020.5850836482100 +45.5287767357900;   31.681 9.024     ;14.6042   ;-12.97     ;4.868    
13  ;* ome And                          ;** ;021.9140863146646 +45.4066847576183;357.564 -110.039    ;34.7332   ;12.40      ;4.83     
14  ;* chi And                          ;SB*;024.8374523883700 +44.3861749765200;  -13.395 8.635     ;12.3592   ;6.91       ;5.008    
15  ;* gam01 And                        ;SB*;030.97480121 +42.32972842          ;   42.32 -49.30     ;8.30      ;-11.50     ;2.10     
16  ;* 75 Cyg                           ;** ;325.0462918166400 +43.2738377488500;  60.900 15.491     ;7.3395    ;-29.25     ;5.086    
17  ;* 2 Lac                            ;SB*;335.2564469371 +46.5365683569      ;     22.35 1.45     ;5.88      ;-9.5       ;4.540    
